season,week_ending,age_category,data_type,estimate
2018-19,2018-11-03,18-29 yr,Cumulative Rate,0.0
2018-19,2018-11-03,65-74 yr,Cumulative Rate,1.0
2018-19,2018-11-10,18-49 yr,Cumulative Rate,0.0
2018-19,2018-11-10,Overall,Weekly Rate,0.2
2018-19,2018-11-10,75-84 yr,Cumulative Rate,2.0
2018-19,2018-11-10,5-11 yr,Weekly Rate,0.1
2018-19,2018-11-10,0-<1 yr,Cumulative Rate,3.0
2018-19,2018-11-10,0-4 yr,Weekly Rate,0.4
2018-19,2018-11-10,5-11 yr,Cumulative Rate,0.0
2018-19,2018-11-10,Adults,Cumulative Rate,1.0
2018-19,2018-11-10,Overall,Cumulative Rate,1.0
2018-19,2018-11-10,12-17 yr,Weekly Rate,0.0
2018-19,2018-11-10,18-29 yr,Weekly Rate,0.1
2018-19,2018-11-10,1-4 yr,Cumulative Rate,1.0
2018-19,2018-11-10,40-49 yr,Weekly Rate,0.1
2018-19,2018-11-10,65-74 yr,Weekly Rate,0.5
2018-19,2018-11-10,1-4 yr,Weekly Rate,0.3
2018-19,2018-11-10,75+ yr,Weekly Rate,0.5
2018-19,2018-11-10,75+ yr,Cumulative Rate,3.0
2018-19,2018-11-10,Pediatrics,Weekly Rate,0.2
2018-19,2018-11-10,18-29 yr,Cumulative Rate,0.0
2018-19,2018-11-10,5-17 yr,Weekly Rate,0.1
2018-19,2018-11-10,0-4 yr,Cumulative Rate,1.0
2018-19,2018-11-10,50-64 yr,Weekly Rate,0.2
2018-19,2018-11-10,0-<1 yr,Weekly Rate,0.9
2018-19,2018-11-10,Pediatrics,Cumulative Rate,1.0
2018-19,2018-11-10,30-39 yr,Cumulative Rate,0.0
2018-19,2018-11-10,65+ yr,Weekly Rate,0.5
2018-19,2018-11-10,Adults,Weekly Rate,0.2
2018-19,2018-11-10,30-39 yr,Weekly Rate,0.1
2018-19,2018-11-10,5-17 yr,Cumulative Rate,0.0
2018-19,2018-11-10,85+ yr,Weekly Rate,0.8
2018-19,2018-11-10,12-17 yr,Cumulative Rate,0.0
2018-19,2018-11-10,65+ yr,Cumulative Rate,2.0
2018-19,2018-11-10,85+ yr,Cumulative Rate,5.0
2018-19,2018-11-10,40-49 yr,Cumulative Rate,1.0
2018-19,2018-11-10,75-84 yr,Weekly Rate,0.4
2018-19,2018-11-10,18-49 yr,Weekly Rate,0.1
2018-19,2018-11-10,50-64 yr,Cumulative Rate,1.0
2018-19,2018-11-10,65-74 yr,Cumulative Rate,2.0
2018-19,2018-11-17,Pediatrics,Weekly Rate,0.2
2018-19,2018-11-17,18-49 yr,Cumulative Rate,1.0
2018-19,2018-11-17,65-74 yr,Cumulative Rate,2.0
2018-19,2018-11-17,75+ yr,Weekly Rate,0.8
2018-19,2018-11-17,65+ yr,Weekly Rate,0.5
2018-19,2018-11-17,65-74 yr,Weekly Rate,0.3
2018-19,2018-11-17,1-4 yr,Weekly Rate,0.4
2018-19,2018-11-17,18-49 yr,Weekly Rate,0.1
2018-19,2018-11-17,85+ yr,Weekly Rate,1.8
2018-19,2018-11-17,0-<1 yr,Cumulative Rate,3.0
2018-19,2018-11-17,5-17 yr,Weekly Rate,0.2
2018-19,2018-11-17,40-49 yr,Weekly Rate,0.2
2018-19,2018-11-17,30-39 yr,Weekly Rate,0.2
2018-19,2018-11-17,0-4 yr,Weekly Rate,0.3
2018-19,2018-11-17,65+ yr,Cumulative Rate,3.0
2018-19,2018-11-17,Adults,Cumulative Rate,1.0
2018-19,2018-11-17,18-29 yr,Weekly Rate,0.0
2018-19,2018-11-17,Overall,Weekly Rate,0.2
2018-19,2018-11-17,40-49 yr,Cumulative Rate,1.0
2018-19,2018-11-17,5-17 yr,Cumulative Rate,0.0
2018-19,2018-11-17,Overall,Cumulative Rate,1.0
2018-19,2018-11-17,85+ yr,Cumulative Rate,6.0
2018-19,2018-11-17,1-4 yr,Cumulative Rate,1.0
2018-19,2018-11-17,12-17 yr,Weekly Rate,0.2
2018-19,2018-11-17,50-64 yr,Cumulative Rate,1.0
2018-19,2018-11-17,75-84 yr,Weekly Rate,0.4
2018-19,2018-11-17,50-64 yr,Weekly Rate,0.3
2018-19,2018-11-17,Adults,Weekly Rate,0.2
2018-19,2018-11-17,75-84 yr,Cumulative Rate,3.0
2018-19,2018-11-17,30-39 yr,Cumulative Rate,0.0
2018-19,2018-11-17,Pediatrics,Cumulative Rate,1.0
2018-19,2018-11-17,0-<1 yr,Weekly Rate,0.3
2018-19,2018-11-17,12-17 yr,Cumulative Rate,0.0
2018-19,2018-11-17,0-4 yr,Cumulative Rate,2.0
2018-19,2018-11-17,5-11 yr,Cumulative Rate,1.0
2018-19,2018-11-17,5-11 yr,Weekly Rate,0.2
2018-19,2018-11-17,75+ yr,Cumulative Rate,4.0
2018-19,2018-11-17,18-29 yr,Cumulative Rate,0.0
2018-19,2018-11-24,30-39 yr,Weekly Rate,0.2
2018-19,2018-11-24,5-17 yr,Weekly Rate,0.1
2018-19,2018-11-24,75-84 yr,Cumulative Rate,3.0
2018-19,2018-11-24,18-29 yr,Weekly Rate,0.1
2018-19,2018-11-24,85+ yr,Cumulative Rate,8.0
2018-19,2018-11-24,Adults,Cumulative Rate,1.0
